FIRST,LAST,NICKNAME,URL,FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB
Tsuyoshi,Kurihara,,http://ufcstats.com/fighter-details/032b65d5fff611b2,Tsuyoshi Kurihara,"5' 10""",185 lbs.,,Orthodox,1973-07-13
Khabib,Nurmagomedov,The Eagle,http://ufcstats.com/fighter-details/032cc3922d871c7f,Khabib Nurmagomedov,"5' 10""",155 lbs.,"70""",Orthodox,1988-09-20
Carina,Damm,Beauty But the Beast,http://ufcstats.com/fighter-details/033343da4c0cff8a,Carina Damm,"5' 4""",135 lbs.,,,
Anthony,Avila,,http://ufcstats.com/fighter-details/033d19259f589457,Anthony Avila,"5' 7""",145 lbs.,,,1988-12-29
Pete,Sell,Drago,http://ufcstats.com/fighter-details/0359313549d230a1,Pete Sell,"5' 11""",170 lbs.,"75""",Orthodox,1982-08-05
Bas,Rutten,El Guapo,http://ufcstats.com/fighter-details/03688dc3c3af3ac1,Bas Rutten,"6' 1""",205 lbs.,,Orthodox,1965-02-24
Nick,Fiore,,http://ufcstats.com/fighter-details/036e96c1c12b8a59,Nick Fiore,"5' 10""",155 lbs.,"72""",Orthodox,1997-12-10
Nayara,Maia,Capita,http://ufcstats.com/fighter-details/03b1b79b34eaf217,Nayara Maia,"5' 5""",125 lbs.,"66""",Orthodox,1990-07-25
Denis,Sobolev,,http://ufcstats.com/fighter-details/03b1e846b09f721d,Denis Sobolev,"6' 3""",216 lbs.,,Orthodox,
John,Cholish,,http://ufcstats.com/fighter-details/03c9994c5b8958ec,John Cholish,"5' 11""",155 lbs.,"74""",Orthodox,1983-12-17
Jose,Canseco,,http://ufcstats.com/fighter-details/03da33a102d9a45f,Jose Canseco,"6' 4""",240 lbs.,,Orthodox,1964-07-02
Yusaku,Nakamura,,http://ufcstats.com/fighter-details/03e8df49c4a059ba,Yusaku Nakamura,"5' 5""",145 lbs.,,,1986-06-21
Walt,Harris,The Big Ticket,http://ufcstats.com/fighter-details/03f982ca3735070c,Walt Harris,"6' 5""",250 lbs.,"77""",Southpaw,1983-06-10
Nate,Schroeder,,http://ufcstats.com/fighter-details/040426baba8a45e8,Nate Schroeder,"6' 1""",230 lbs.,,,
Minoru,Toyonaga,,http://ufcstats.com/fighter-details/04076783ca83d6ae,Minoru Toyonaga,"5' 11""",195 lbs.,,Southpaw,
Arnold,Allen,Almighty,http://ufcstats.com/fighter-details/040a74bb0a465c54,Arnold Allen,"5' 8""",145 lbs.,"70""",Southpaw,1994-01-22
Zoila,Frausto,Warrior Princess,http://ufcstats.com/fighter-details/040d3b4c735541aa,Zoila Frausto,"5' 4""",135 lbs.,,Orthodox,
Lucrezia,Ria,,http://ufcstats.com/fighter-details/042cc07ad5a53a33,Lucrezia Ria,"5' 6""",125 lbs.,,Orthodox,1992-06-24
Jack,Marshman,The Hammer,http://ufcstats.com/fighter-details/045f25b3a4c08e81,Jack Marshman,"6' 0""",185 lbs.,"73""",Orthodox,1989-12-19
Marcus,Aurelio,Maximus,http://ufcstats.com/fighter-details/04643fd03d9159cc,Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,1973-08-18
Dashawn,Boatwright,"Buck, the 400-pound Silverback",http://ufcstats.com/fighter-details/046a85108610c0d2,Dashawn Boatwright,"6' 0""",205 lbs.,,Orthodox,1988-02-29
Collin,Anglin,,http://ufcstats.com/fighter-details/047a91d3d9c79b05,Collin Anglin,"5' 9""",145 lbs.,"71""",Orthodox,1993-02-20
Casey,O'Neill,King,http://ufcstats.com/fighter-details/04835018f90b118c,Casey O'Neill,"5' 6""",125 lbs.,"69""",Orthodox,1997-10-07
Jesse,Finney,,http://ufcstats.com/fighter-details/0496cdac0bc9edd8,Jesse Finney,"6' 0""",170 lbs.,,,1974-07-11
Matt,Horwich,Suave,http://ufcstats.com/fighter-details/049d698d773eb3e1,Matt Horwich,"6' 1""",185 lbs.,,Orthodox,1978-10-02
Oluwale,Bamgbose,Holy War Angel,http://ufcstats.com/fighter-details/04b39f4e8eb59d7c,Oluwale Bamgbose,"5' 11""",185 lbs.,"78""",Switch,1987-08-04
Nate,Mohr,,http://ufcstats.com/fighter-details/04c15b52c3cc1cab,Nate Mohr,"5' 9""",155 lbs.,"72""",Orthodox,1983-03-03
Tanner,Boser,The Bulldozer,http://ufcstats.com/fighter-details/04c8b08b16a5b99e,Tanner Boser,"6' 2""",205 lbs.,"75""",Orthodox,1991-08-02
Jorge,Gurgel,,http://ufcstats.com/fighter-details/04d5718ed2661e8c,Jorge Gurgel,"5' 7""",155 lbs.,"69""",Orthodox,1977-01-25
Joao Paulo,Faria,,http://ufcstats.com/fighter-details/04e9955f33e0c267,Joao Paulo Faria,"5' 9""",155 lbs.,,,
Victor,Jones,,http://ufcstats.com/fighter-details/04f0471f221db717,Victor Jones,,145 lbs.,,,
Gerald,Strebendt,The Finishing Machine,http://ufcstats.com/fighter-details/04f9fe830cf13482,Gerald Strebendt,"5' 9""",155 lbs.,,Orthodox,1979-03-01
John,Doyle,The Iron Bull,http://ufcstats.com/fighter-details/0509b954421bb327,John Doyle,"5' 11""",205 lbs.,,Orthodox,1976-11-21
Chase,Gormley,,http://ufcstats.com/fighter-details/052ceb8976695342,Chase Gormley,"6' 3""",265 lbs.,,Orthodox,
Rob,Font,,http://ufcstats.com/fighter-details/05339613bf8e9808,Rob Font,"5' 8""",135 lbs.,"71""",Orthodox,1987-06-25
Houston,Alexander,The Assassin,http://ufcstats.com/fighter-details/0541480fbf719d86,Houston Alexander,"6' 0""",205 lbs.,"72""",Orthodox,1972-03-22
Rob,Kimmons,The Rosedale Reaper,http://ufcstats.com/fighter-details/054defd5420a551f,Rob Kimmons,"5' 10""",185 lbs.,"73""",Orthodox,1981-01-30
Constantinos,Philippou,,http://ufcstats.com/fighter-details/05560764359161e4,Constantinos Philippou,"5' 11""",185 lbs.,"73""",Orthodox,1979-11-29
,Kaiwen,The Underdog,http://ufcstats.com/fighter-details/0565706b1e7f7e7c,Kaiwen,"5' 9""",145 lbs.,"72""",Switch,1995-10-16
Henry,Cejudo,Triple C,http://ufcstats.com/fighter-details/056c493bbd76a918,Henry Cejudo,"5' 4""",135 lbs.,"64""",Orthodox,1987-02-09
Jon Olav,Einemo,The Viking,http://ufcstats.com/fighter-details/0577808d22dfe79c,Jon Olav Einemo,"6' 6""",253 lbs.,,Orthodox,1975-12-10
Marvin,Eastman,The Beastman,http://ufcstats.com/fighter-details/05866d8c3a321856,Marvin Eastman,"5' 9""",185 lbs.,"73""",Orthodox,1971-06-08
Dale,Hartt,,http://ufcstats.com/fighter-details/058e4e08a1ad8aba,Dale Hartt,"5' 10""",155 lbs.,"69""",Orthodox,1979-04-04
Chris,Price,The Exorcist,http://ufcstats.com/fighter-details/0597a4528ebd1307,Chris Price,"6' 2""",185 lbs.,,Southpaw,1982-11-09
Jason,Ireland,The Irish Tornado,http://ufcstats.com/fighter-details/05a0556072931f01,Jason Ireland,"5' 9""",161 lbs.,,Southpaw,1979-12-30
Shin,Haraguchi,,http://ufcstats.com/fighter-details/05b17ae24e6bba81,Shin Haraguchi,"5' 5""",145 lbs.,"68""",Switch,1998-11-27
Kailin,Curran,,http://ufcstats.com/fighter-details/05b43e0ead3df345,Kailin Curran,"5' 4""",115 lbs.,"65""",Orthodox,1991-04-11
Everett,Cummings,,http://ufcstats.com/fighter-details/05e4be525cb3578c,Everett Cummings,,205 lbs.,,,
Andrea,Lee,KGB,http://ufcstats.com/fighter-details/05fa626cb33d15b8,Andrea Lee,"5' 6""",125 lbs.,"69""",Orthodox,1989-02-11
Ricardo,Arona,The Brazilian Tiger,http://ufcstats.com/fighter-details/05fbfe628658c538,Ricardo Arona,"5' 11""",205 lbs.,,Orthodox,1978-07-17
Fiona,Muxlow,,http://ufcstats.com/fighter-details/062e57ca1a3c95a8,Fiona Muxlow,"5' 4""",145 lbs.,,,1977-05-13
Luiz,Azeredo,,http://ufcstats.com/fighter-details/063649e21bc9d6d5,Luiz Azeredo,"5' 9""",154 lbs.,,Orthodox,1976-06-10
Mike,Jackson,The Truth,http://ufcstats.com/fighter-details/0641c21bec209472,Mike Jackson,"6' 2""",170 lbs.,"74""",Orthodox,1985-03-22
Cain,Carrizosa,The Insane,http://ufcstats.com/fighter-details/064b7dc68d786254,Cain Carrizosa,"5' 8""",155 lbs.,,Orthodox,1986-07-22
Devin,Powell,,http://ufcstats.com/fighter-details/065eb44700e641a4,Devin Powell,"6' 0""",155 lbs.,"73""",Orthodox,1988-03-01
Chris,Padilla,Taco,http://ufcstats.com/fighter-details/06626b6287e1ae1e,Chris Padilla,"5' 9""",155 lbs.,"74""",Orthodox,1995-09-14
Shara,Magomedov,Bullet,http://ufcstats.com/fighter-details/06734ca9d88dec3a,Shara Magomedov,"6' 2""",185 lbs.,"73""",Orthodox,1994-05-16
Scott,Askham,,http://ufcstats.com/fighter-details/06827d70c53ff0d9,Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,1988-05-20
Maurice,Greene,The Crochet Boss,http://ufcstats.com/fighter-details/068f8a189a47fea6,Maurice Greene,"6' 7""",258 lbs.,"80""",Orthodox,1986-07-05
Sergei,Kharitonov,,http://ufcstats.com/fighter-details/0693b2eab79198ea,Sergei Kharitonov,"6' 0""",245 lbs.,,Orthodox,1980-08-18
Justin,Pennington,,http://ufcstats.com/fighter-details/0699c4b2a7c3c76f,Justin Pennington,"5' 4""",,,,
Irwin,Rivera,The Beast,http://ufcstats.com/fighter-details/06a80a685ea98573,Irwin Rivera,"5' 6""",135 lbs.,"67""",Southpaw,1989-02-14
Takashi,Sugiura,,http://ufcstats.com/fighter-details/06c60fc2c8dcd7bd,Takashi Sugiura,"5' 11""",225 lbs.,,Southpaw,1970-05-31
Jonathan,Contrestano,JT,http://ufcstats.com/fighter-details/06d4eb8123087123,Jonathan Contrestano,,155 lbs.,,,
Travis,Galbraith,The Gladiator,http://ufcstats.com/fighter-details/06dc1a58663579d2,Travis Galbraith,"6' 0""",170 lbs.,,Orthodox,1981-05-18
Junior,Barata,,http://ufcstats.com/fighter-details/06dced58ca24a6bd,Junior Barata,"5' 10""",170 lbs.,,Orthodox,1982-01-25
Icaro,Brito,,http://ufcstats.com/fighter-details/06dd61c8d545c63f,Icaro Brito,,145 lbs.,,,1999-03-09
Ailin,Perez,Fiona,http://ufcstats.com/fighter-details/06e4245d16fc5315,Ailin Perez,"5' 5""",135 lbs.,"66""",Switch,1994-10-05
Branden Lee,Hinkle,The Iron Lion,http://ufcstats.com/fighter-details/06f0ffa6446c5b6d,Branden Lee Hinkle,"6' 3""",235 lbs.,,Orthodox,1973-07-29
Ed,Herman,Short Fuse,http://ufcstats.com/fighter-details/06f36cf4bd97ec77,Ed Herman,"6' 1""",205 lbs.,"77""",Orthodox,1980-10-02
Daria,Zhelezniakova,Iron Lady,http://ufcstats.com/fighter-details/07047eb7d17fb0a2,Daria Zhelezniakova,"5' 9""",135 lbs.,"68""",Orthodox,1996-01-23
Charles,Oliveira,Do Bronxs,http://ufcstats.com/fighter-details/07225ba28ae309b6,Charles Oliveira,"5' 10""",155 lbs.,"74""",Orthodox,1989-10-17
Milana,Dudieva,,http://ufcstats.com/fighter-details/072a10e85f7d4bff,Milana Dudieva,"5' 3""",135 lbs.,,Orthodox,1989-08-04
Tarec,Saffiedine,Sponge,http://ufcstats.com/fighter-details/0749d968e932df53,Tarec Saffiedine,"5' 10""",170 lbs.,"70""",Switch,1986-09-06
Joey,Gomez,KO King,http://ufcstats.com/fighter-details/0778f94eb5d588a5,Joey Gomez,"5' 10""",135 lbs.,"73""",Orthodox,1986-07-21
Angel,Pacheco,,http://ufcstats.com/fighter-details/07797f10b9569cfc,Angel Pacheco,"5' 8""",135 lbs.,"70""",Orthodox,1992-01-13
CJ,Vergara,,http://ufcstats.com/fighter-details/077e3ace32b72be9,CJ Vergara,"5' 6""",125 lbs.,"68""",Orthodox,1991-06-18
Kasey,Tanner,,http://ufcstats.com/fighter-details/078b732efa497f49,Kasey Tanner,"5' 7""",135 lbs.,"69""",Orthodox,1992-01-11
Cesar,Gracie,,http://ufcstats.com/fighter-details/079488710f012779,Cesar Gracie,"5' 10""",181 lbs.,,Orthodox,
Neal,Ewing,,http://ufcstats.com/fighter-details/0798f558681d0eb5,Neal Ewing,,185 lbs.,,,1985-09-30
Paul,Varelans,The Polar Bear,http://ufcstats.com/fighter-details/07a18ae55dfc3cd9,Paul Varelans,"6' 8""",300 lbs.,,Orthodox,
Rogerio,Bontorin,,http://ufcstats.com/fighter-details/07a2bdaa0afdd831,Rogerio Bontorin,"5' 5""",125 lbs.,"67""",Orthodox,1992-04-25
Jon,Jones,Bones,http://ufcstats.com/fighter-details/07f72a2a7591b409,Jon Jones,"6' 4""",248 lbs.,"84""",Orthodox,1987-07-19
Carlos,Vera,Pequeno,http://ufcstats.com/fighter-details/07f959e6596307bb,Carlos Vera,"5' 6""",135 lbs.,"69""",Orthodox,1987-11-05
Imani,Lee,,http://ufcstats.com/fighter-details/0802be3516ef8f66,Imani Lee,,,,Orthodox,
Jarno,Errens,,http://ufcstats.com/fighter-details/082eba4cd80f736f,Jarno Errens,"5' 11""",145 lbs.,"73""",Orthodox,1994-11-17
Josh,Thornburg,,http://ufcstats.com/fighter-details/083e15da67d9b0fa,Josh Thornburg,"6' 0""",170 lbs.,,,1984-05-24
Volkan,Oezdemir,No Time,http://ufcstats.com/fighter-details/0845c81e37d3bcb3,Volkan Oezdemir,"6' 2""",205 lbs.,"75""",Orthodox,1989-09-19
Tommy,Hayden,Wild Card,http://ufcstats.com/fighter-details/0871254cd790c250,Tommy Hayden,"5' 9""",145 lbs.,,Southpaw,1986-03-11
Dave,Galera,Scarecrow,http://ufcstats.com/fighter-details/0876d21328cf4a45,Dave Galera,"5' 11""",135 lbs.,,Orthodox,1978-01-12
John Dave,Almanza,The Striker,http://ufcstats.com/fighter-details/088aa1b19b2dc14a,John Dave Almanza,"5' 7""",125 lbs.,"67""",Southpaw,2004-03-22
Rafael,Carino,,http://ufcstats.com/fighter-details/08a7080ff5904661,Rafael Carino,"6' 8""",245 lbs.,,Orthodox,
Scott,McDonald,,http://ufcstats.com/fighter-details/08ae3100bf2100ed,Scott McDonald,,,,,
Kimo,Leopoldo,,http://ufcstats.com/fighter-details/08ae5cd9aef7ddd3,Kimo Leopoldo,"6' 3""",235 lbs.,,Orthodox,1968-01-05
Beneil,Dariush,,http://ufcstats.com/fighter-details/08af939f41b5a57b,Beneil Dariush,"5' 10""",155 lbs.,"72""",Southpaw,1989-05-06
Jacobi,Jones,Big Toe,http://ufcstats.com/fighter-details/08b01ed84044c6bc,Jacobi Jones,"5' 9""",155 lbs.,"72""",Orthodox,1996-05-24
Myles,Jury,Fury,http://ufcstats.com/fighter-details/08e908ed6d18d6a0,Myles Jury,"5' 10""",145 lbs.,"73""",Orthodox,1988-10-31
Phillip,Latu,The Doctor,http://ufcstats.com/fighter-details/09224b76d27007ee,Phillip Latu,"6' 3""",205 lbs.,"76""",Orthodox,1991-02-17
Anthony,Hernandez,Fluffy,http://ufcstats.com/fighter-details/093e1f5bb73850be,Anthony Hernandez,"6' 0""",185 lbs.,"75""",Orthodox,1993-10-18
Johny,Hendricks,Bigg Rigg,http://ufcstats.com/fighter-details/0941df56f6ac954b,Johny Hendricks,"5' 9""",185 lbs.,"69""",Southpaw,1983-09-12
Jeremy,Lang,,http://ufcstats.com/fighter-details/09422812370fbdfe,Jeremy Lang,"5' 11""",205 lbs.,,Southpaw,1975-05-11
Chase,Gibson,El Guero,http://ufcstats.com/fighter-details/09439946214993bc,Chase Gibson,"5' 10""",155 lbs.,"72""",Orthodox,1990-02-07
Elisha,Helsper,Knuckles,http://ufcstats.com/fighter-details/0971be7d94e109e1,Elisha Helsper,"5' 6""",135 lbs.,,Orthodox,1983-02-06
Lee,Brousseau,Manimal,http://ufcstats.com/fighter-details/0974d8d4053a7237,Lee Brousseau,"6' 1""",205 lbs.,,,1974-10-04
Nick,Aguirre,Slick,http://ufcstats.com/fighter-details/0978385b2bd9ef9b,Nick Aguirre,"5' 9""",135 lbs.,"74""",Southpaw,1996-01-15
Rafael,Cerqueira,BJJ,http://ufcstats.com/fighter-details/09a4447655fd4b7b,Rafael Cerqueira,"6' 3""",205 lbs.,"76""",Southpaw,1990-03-15
Ricky,Steele,The Karate Kid,http://ufcstats.com/fighter-details/09a6ed4ee97a5606,Ricky Steele,"5' 9""",135 lbs.,"74""",Orthodox,1988-05-26
Wayne,Phillips,,http://ufcstats.com/fighter-details/09a82bd51ff61376,Wayne Phillips,,185 lbs.,,,1983-06-17
David,Velasquez,Little,http://ufcstats.com/fighter-details/09c44b317c98bf96,David Velasquez,"5' 5""",145 lbs.,,Orthodox,
Jimmy,Flick,The Brick,http://ufcstats.com/fighter-details/09e62c450e754913,Jimmy Flick,"5' 7""",125 lbs.,"68""",Orthodox,1990-09-07
Diego,Rivas,Pitbull,http://ufcstats.com/fighter-details/09f579be4520394a,Diego Rivas,"5' 8""",145 lbs.,"69""",Orthodox,1991-11-11
Brad,Royster,,http://ufcstats.com/fighter-details/09f8c233de88998d,Brad Royster,,135 lbs.,,,
Jack,Hermansson,The Joker,http://ufcstats.com/fighter-details/0a1942069c9ad6b6,Jack Hermansson,"6' 1""",185 lbs.,"77""",Orthodox,1988-06-10
David,Marshall,,http://ufcstats.com/fighter-details/0a2813f89a758ff7,David Marshall,"6' 2""",170 lbs.,,,1984-08-24
Alan,Gomez,,http://ufcstats.com/fighter-details/0a66de3a797cf73a,Alan Gomez,,155 lbs.,,,
Shayilan,Nuerdanbieke,Wolverine,http://ufcstats.com/fighter-details/0a73acff6325c1e2,Shayilan Nuerdanbieke,"5' 8""",145 lbs.,"69""",Orthodox,1994-05-04
Adam,Yandiev,Boroda,http://ufcstats.com/fighter-details/0a95c474e61a6c44,Adam Yandiev,"5' 9""",185 lbs.,"74""",Orthodox,1988-08-07
Mark,Hominick,The Machine,http://ufcstats.com/fighter-details/0a97691039c4bbfb,Mark Hominick,"5' 8""",145 lbs.,"68""",Orthodox,1982-07-22
Errol,Zimmerman,The Bonecrusher,http://ufcstats.com/fighter-details/0aa74d04c196800c,Errol Zimmerman,"6' 3""",185 lbs.,,Orthodox,1986-04-20
Randy,Couture,The Natural,http://ufcstats.com/fighter-details/0aa92558424ced9e,Randy Couture,"6' 1""",205 lbs.,"75""",Orthodox,1963-06-22
Bruno,Lopes,Brunao,http://ufcstats.com/fighter-details/0abcf6bc47191219,Bruno Lopes,"6' 2""",205 lbs.,"74""",Orthodox,1993-04-24
AJ,Fonseca,,http://ufcstats.com/fighter-details/0adf1aacda5e26ac,AJ Fonseca,"5' 4""",145 lbs.,,,
Greg,Scott,,http://ufcstats.com/fighter-details/0b235384fe23fc9c,Greg Scott,"5' 9""",145 lbs.,,,
